cluster,Mobilidade_Index,Segurança_Index,Serviços_Index,Espaços Verdes_Index,Higiene Urbana_Index,Crescimento_Index,Postal Code
1490.0,0.875,0.625,0.625,1.0,0.8333333333333334,1.0,1300-149
1498.0,0.2857142857142857,0.5,0.2,1.0,0.0,0.5,1200-839
1505.0,0.125,0.75,0.3,1.0,0.8333333333333334,1.0,1200-603
1508.0,0.875,1.0,0.4666666666666667,0.75,0.3333333333333333,1.0,1350-276
1510.0,0.375,0.5,0.4583333333333333,0.25,0.8333333333333334,0.5,1200-018
1527.0,0.8571428571428571,0.75,0.5,0.25,0.0,0.0,1170-242
1538.0,0.42142857142857143,0.9,0.505,0.8,0.35,0.6,1150-119
1548.0,0.5,0.5,0.6,0.75,0.0,1.0,1200-297
1587.0,0.7142857142857143,0.75,0.7083333333333334,0.75,0.6666666666666666,0.5,1200-280
1640.0,0.375,1.0,0.2,0.25,0.25,0.0,2725-486
1675.0,0.9,1.0,0.0,0.75,0.8333333333333334,1.0,1685-067
1708.0,0.625,0.5,0.4583333333333333,0.25,0.5,1.0,2620-169
1774.0,0.5,0.5,0.5,0.25,0.8333333333333334,1.0,2675-447
1779.0,0.875,1.0,0.7666666666666667,0.75,0.6666666666666666,0.5,2675-587
1808.0,0.5714285714285714,1.0,0.7,0.75,0.75,1.0,2675-678
1880.0,0.7142857142857143,1.0,0.5,0.25,0.75,0.5,2785-743
-1.0,0.5,1.0,0.625,1.0,1.0,0.5,1000-095
-1.0,0.6666666666666666,0.75,0.4,0.25,0.6666666666666666,0.5,1300-906
-1.0,1.0,1.0,0.9,1.0,1.0,0.5,1600-014
-1.0,0.8313492063492064,0.8611111111111112,0.10000000000000002,0.25,0.7777777777777777,0.3333333333333333,1600-207
-1.0,0.8571428571428571,0.875,0.3,0.25,0.6666666666666666,0.5,1675-155
-1.0,0.5714285714285714,1.0,0.0,0.75,1.0,0.5,1685-188
-1.0,0.375,0.5,0.16666666666666666,0.25,0.5,0.5,1900-098
-1.0,0.7857142857142857,0.5,0.125,0.75,1.0,0.5,1900-211
-1.0,0.5,0.625,0.8,0.25,1.0,0.5,2645-163
